,title,abstract,author,journal,year,pdf_link,keyword
0,Different origins of gamma rhythm and high-gamma activity in macaque visual cortex,,"S Ray, JHR Maunsell - PLoS biology, 2011",journals.plos,.org,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1000610,
0,Spectrum sensing for cognitive radio,,"S Haykin, DJ Thomson, JH Reed - Proceedings of the IEEE, 2009",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/4840525/,
0,Communication between neocortex and hippocampus during sleep in rodents,,"A Sirota, J Csicsvari, D Buhl… - Proceedings of the …, 2003",National Acad Scie,nces,https://www.pnas.org/doi/abs/10.1073/pnas.0437938100,
0,Mechanisms of gamma oscillations in the hippocampus of the behaving rat,,"J Csicsvari, B Jamieson, KD Wise, G Buzsáki - Neuron, 2003",Else,vier,https://www.sciencedirect.com/science/article/pii/S0896627302011698,
0,"A comparison and test of various site-response estimation techniques, including three that are not reference-site dependent",,"EH Field, KH Jacob - Bulletin of the seismological society …, 1995",pubs.geoscienceworld,.org,https://pubs.geoscienceworld.org/ssa/bssa/article-abstract/85/4/1127/102625,
0,Temporal structure in neuronal activity during working memory in macaque parietal cortex,,"B Pesaran, JS Pezaris, M Sahani, PP Mitra… - Nature …, 2002",nature,.com,https://www.nature.com/articles/nn890,
0,Gating of human theta oscillations by a working memory task,,"S Raghavachari, MJ Kahana, DS Rizzuto… - Journal of …, 2001",Soc Neurosci,ence,https://www.jneurosci.org/content/21/9/3175.short,
0,The random walk's guide to anomalous diffusion: a fractional dynamics approach,,"R Metzler, J Klafter - Physics reports, 2000",Else,vier,https://www.sciencedirect.com/science/article/pii/S0370157300000703,
0,Characterization and analysis of porosity and pore structures,,"LM Anovitz, DR Cole - Reviews in Mineralogy and …, 2015",pubs.geoscienceworld,.org,https://pubs.geoscienceworld.org/msa/rimg/article-abstract/80/1/61/140962,
0,The homogeneous chaos,,"N Wiener - American Journal of Mathematics, 1938",J,STOR,https://www.jstor.org/stable/2371268,
0,"Adaptive control: stability, convergence, and robustness",,"S Sastry, M Bodson, JF Bartram",,1990,https://asa.scitation.org/doi/pdf/10.1121/1.399905,
0,The future of data analysis,,"JW Tukey - The annals of mathematical statistics, 1962",J,STOR,https://www.jstor.org/stable/2237638,
0,Spectrum analysis—A modern perspective,,"SM Kay, SL Marple - Proceedings of the IEEE, 1981",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1456452/,
0,A modern course in statistical physics,,LE Reichl,,1999,https://aapt.scitation.org/doi/pdf/10.1119/1.19118,
0,Autoformer: Decomposition transformers with auto-correlation for long-term series forecasting,,"H Wu, J Xu, J Wang, M Long - Advances in Neural …, 2021",proceedings.neurip,s.cc,https://proceedings.neurips.cc/paper/2021/hash/bcc0d400288793e8bdcd7c19a8ac0c2b-Abstract.html,
0,Introduction to terrain-vehicle systems. part i: The terrain. part ii: The vehicle,,MG Bekker,,1969,https://apps.dtic.mil/sti/citations/AD0687599,
0,On the theory of the Brownian motion II,,"MC Wang, GE Uhlenbeck - Reviews of modern physics, 1945",,APS,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.17.323,
0,"A framework for the analysis of mixed time series/point process data-theory and application to the study of physiological tremor, single motor unit discharges …",,"DM Halliday, JR Rosenberg, AM Amjad… - … in biophysics and …, 1995",rmb.ifc.una,m.mx,http://rmb.ifc.unam.mx/curso_ritmos/capitulo4/Halliday_1995.pdf,
0,Analysis of fluid flows via spectral properties of the Koopman operator,,"I Mezić - Annual Review of Fluid Mechanics, 2013",annualreviews,.org,https://www.annualreviews.org/doi/abs/10.1146/annurev-fluid-011212-140652,
0,"Simple Eulerian time correlation of full-and narrow-band velocity signals in grid-generated,'isotropic'turbulence",,"G Comte-Bellot, S Corrsin - Journal of fluid mechanics, 1971",cambridge,.org,https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/simple-eulerian-time-correlation-of-fulland-narrowband-velocity-signals-in-gridgenerated-isotropic-turbulence/A3D7B0DD621DE46CB6CC543F65A66F93,
0,Cyclostationarity: Half a century of research,,"WA Gardner, A Napolitano, L Paura - Signal processing, 2006",Else,vier,https://www.sciencedirect.com/science/article/pii/S0165168405002409,
0,Spectra of quantized signals,,"WR Bennett - The Bell System Technical Journal, 1948",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/6773026/,
0,On the spectrum of isotropic temperature fluctuations in an isotropic turbulence,,"S Corrsin - Journal of Applied Physics, 1951",aip.scitation,.org,https://aip.scitation.org/doi/abs/10.1063/1.1699986,
0,Review of FACTS technologies and applications for power quality in smart grids with renewable energy systems,,"FH Gandoman, A Ahmadi, AM Sharaf, P Siano… - … and sustainable energy …, 2018",Else,vier,https://www.sciencedirect.com/science/article/pii/S1364032117313151,
0,Role of energy storage systems in energy transition from fossil fuels to renewables,,"A Kalair, N Abas, MS Saleem, AR Kalair… - Energy Storage, 2021",Wiley Online Lib,rary,https://onlinelibrary.wiley.com/doi/abs/10.1002/est2.135,
0,High-level penetration of renewable energy sources into grid utility: Challenges and solutions,,"MS Alam, FS Al-Ismail, A Salem, MA Abido - IEEE Access, 2020",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/9224611/,
0,"Power quality in microgrids including supraharmonics: Issues, standards, and mitigations",,"AA Alkahtani, STY Alfalahi, AA Athamneh… - IEEE …, 2020",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/9136692/,
0,Optimal placement and sizing of multi-type FACTS devices in power systems using metaheuristic optimisation techniques: An updated review,,"AAL Ahmad, R Sirjani - Ain Shams Engineering Journal, 2020",Else,vier,https://www.sciencedirect.com/science/article/pii/S2090447919301510,
0,"Limitations, challenges, and solution approaches in grid‐connected renewable energy systems",,"MA Basit, S Dilshad, R Badar… - … Journal of Energy …, 2020",Wiley Online Lib,rary,https://onlinelibrary.wiley.com/doi/abs/10.1002/er.5033,
0,A unified index for power quality evaluation in distributed generation systems,,"GS Elbasuony, SHEA Aleem, AM Ibrahim, AM Sharaf - Energy, 2018",Else,vier,https://www.sciencedirect.com/science/article/pii/S0360544218303165,
0,Power quality improvement using dynamic voltage restorer,,"N Abas, S Dilshad, A Khalid, MS Saleem… - IEEE Access, 2020",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/9187675/,
0,Compensation of nonlinearity of voltage and current instrument transformers,,"A Cataliotti, V Cosentino, G Crotti… - IEEE Transactions …, 2018",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/8574918/,
0,Research challenges in real-time classification of power quality disturbances applicable to microgrids: A systematic review,,"R Igual, C Medrano - Renewable and Sustainable Energy Reviews, 2020",Else,vier,https://www.sciencedirect.com/science/article/pii/S1364032120303415,
0,Optimal resonance-free third-order high-pass filters based on minimization of the total cost of the filters using Crow Search Algorithm,,"SHEA Aleem, AF Zobaa, ME Balci - Electric Power Systems Research, 2017",Else,vier,https://www.sciencedirect.com/science/article/pii/S0378779617302584,
0,Harmonics assessment and mathematical modeling of power quality parameters for low voltage grid connected photovoltaic systems,,"A Elkholy - Solar Energy, 2019",Else,vier,https://www.sciencedirect.com/science/article/pii/S0038092X19302269,
0,Demand side management in hybrid rooftop photovoltaic integrated smart nano grid,,"AR Kalair, N Abas, QU Hasan… - Journal of Cleaner …, 2020",Else,vier,https://www.sciencedirect.com/science/article/pii/S0959652620307940,
0,A review of total harmonic distortion factors for the measurement of harmonic and interharmonic pollution in modern power systems,,"A Arranz-Gimon, A Zorita-Lamadrid, D Morinigo-Sotelo… - Energies, 2021",mdpi,.com,https://www.mdpi.com/1996-1073/14/20/6467,
0,Sliding mode based adaptive linear neuron proportional resonant control of Vienna rectifier for performance improvement of electric vehicle charging system,,"H Ahmed, D Çelik - Journal of Power Sources, 2022",Else,vier,https://www.sciencedirect.com/science/article/pii/S0378775322007789,
0,Review of AI applications in harmonic analysis in power systems,,"A Eslami, M Negnevitsky, E Franklin, S Lyden - Renewable and Sustainable …, 2022",Else,vier,https://www.sciencedirect.com/science/article/pii/S1364032121011643,
0,Optimal probabilistic planning of passive harmonic filters in distribution networks with high penetration of photovoltaic generation,,"MR Jannesar, A Sedighi, M Savaghebi… - International Journal of …, 2019",Else,vier,https://www.sciencedirect.com/science/article/pii/S0142061518322233,
0,Energy transition from molecules to atoms and photons,,"N Khan, E Kalair, N Abas, AR Kalair, A Kalair - Engineering Science and …, 2019",Else,vier,https://www.sciencedirect.com/science/article/pii/S2215098617317196,
0,Data-driven dynamic harmonic model for modern household appliances,,"X Xie, D Chen - Applied Energy, 2022",Else,vier,https://www.sciencedirect.com/science/article/pii/S0306261922002124,
0,A real time study on condition monitoring of distribution transformer using thermal imager,,"T Mariprasath, V Kirubakaran - Infrared Physics & Technology, 2018",Else,vier,https://www.sciencedirect.com/science/article/pii/S1350449517308605,
0,Assessment of the energy efficiency estimation methods on induction motors considering real-time monitoring,,"VS Santos, JJC Eras, AS Gutiérrez, MJC Ulloa - Measurement, 2019",Else,vier,https://www.sciencedirect.com/science/article/pii/S0263224118312260,
0,A harmonic power market framework for compensation management of DER based active power filters in microgrids,,"A Marini, MS Ghazizadeh, SS Mortazavi… - International Journal of …, 2019",Else,vier,https://www.sciencedirect.com/science/article/pii/S0142061518329089,
0,Experimental investigation of adaptive fuzzy global sliding mode control of single-phase shunt active power filters,,"S Hou, J Fei, Y Chu, C Chen - IEEE Access, 2019",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/8715770/,
0,A peer-to-peer blockchain based interconnected power system,,"MM Ahmed, MK Hasan, M Shafiq, MO Qays… - Energy Reports, 2021",Else,vier,https://www.sciencedirect.com/science/article/pii/S2352484721006739,
0,Comparative analysis of the measurement methods for the supraharmonic range,,"TM Mendes, CA Duque, LRM da Silva… - International Journal of …, 2020",Else,vier,https://www.sciencedirect.com/science/article/pii/S014206151932455X,
0,How instrument transformers influence power quality measurements: A proposal of accuracy verification tests,,"G Crotti, Y Chen, H Çayci, G D'Avanzo, C Landi… - Sensors, 2022",mdpi,.com,https://www.mdpi.com/1761210,
0,A Method for Designing and Optimizing the Electrical Parameters of Dynamic Tuning Passive Filter,,"Y Wang, K Yin, H Liu, Y Yuan - Symmetry, 2021",mdpi,.com,https://www.mdpi.com/1160536,
0,Performance assessment of hybrid active filtering technique to enhance the hosting capacity of distorted grids for renewable energy systems,,"M Bajaj, AK Singh - International Journal of Energy Research, 2022",Wiley Online Lib,rary,https://onlinelibrary.wiley.com/doi/abs/10.1002/er.7345,
0,Modeling and control of a novel hybrid power quality compensation system for 25-kV electrified railway,,"M Chen, Y Chen, M Wei - Energies, 2019",mdpi,.com,https://www.mdpi.com/522840,
0,Multi-Objective Teaching–Learning-Based Optimization with Pareto Front for Optimal Design of Passive Power Filters,,"NC Yang, SW Liu - Energies, 2021",mdpi,.com,https://www.mdpi.com/1996-1073/14/19/6408,
0,Representation theory of semisimple groups: an overview based on examples,,AW Knapp,,2001,https://books.google.com/books?hl=ko&lr=&id=QCcW1h835pwC&oi=fnd&pg=PR13&ots=CaCpgbMNlf&sig=SEslSFHBIkc0nAQqAT0LSpqUwy0,
0,Harmonic analysis as spectral theory of Laplacians,,"RS Strichartz - Journal of functional analysis, 1989",Else,vier,https://www.sciencedirect.com/science/article/pii/0022123689900049,
0,Free partition functions and an averaged holographic duality,,"N Afkhami-Jeddi, H Cohn, T Hartman… - Journal of High Energy …, 2021",Spri,nger,https://link.springer.com/article/10.1007/JHEP01(2021)130,
0,Celestial amplitudes and conformal soft theorems,,"T Adamo, L Mason, A Sharma - Classical and Quantum Gravity, 2019",iopscience.iop,.org,https://iopscience.iop.org/article/10.1088/1361-6382/ab42ce/meta,
0,Discrete series for semisimple symmetric spaces,,"M Flensted-Jensen - Annals of Mathematics, 1980",J,STOR,https://www.jstor.org/stable/1971201,
0,Homogeneous functions on light cones: the infinitesimal structure of some degenerate principal series representations,,"RE Howe, EC Tan - Bulletin of the American Mathematical Society, 1993",ams,.org,https://www.ams.org/bull/1993-28-01/S0273-0979-1993-00360-4/,
0,Lp estimates for Radon transforms in Euclidean and non-Euclidean spaces,,"RS Strichartz - Duke Mathematical Journal, 1981",projecteuclid,.org,https://projecteuclid.org/journalArticle/Download?urlId=10.1215%2FS0012-7094-81-04839-0,
0,"Quaternionic analysis, representation theory and physics",,"I Frenkel, M Libine - Advances in Mathematics, 2008",Else,vier,https://www.sciencedirect.com/science/article/pii/S0001870808000935,
0,"Split quaternionic analysis and separation of the series for SL (2, R) and SL (2, C)/SL (2, R)",,"I Frenkel, M Libine - Advances in Mathematics, 2011",Else,vier,https://www.sciencedirect.com/science/article/pii/S0001870811001897,
0,"Path integrals, hyperbolic spaces and Selberg trace formulae",,C Grosche,,2013,https://books.google.com/books?hl=ko&lr=&id=Vpe6CgAAQBAJ&oi=fnd&pg=PR5&ots=f04q25DMhF&sig=je68eeBm1eVhaF73wML_l6HnStI,
0,On some results of Strichartz and of Rallis and Schiffman,,"R Howe - Journal of Functional Analysis, 1979",core.a,c.uk,https://core.ac.uk/download/pdf/82237545.pdf,
0,The theta correspondence over R,,"J Adams - Harmonic Analysis, Group Representations …, 2007",books.google,.com,https://books.google.com/books?hl=ko&lr=&id=NFPICgAAQBAJ&oi=fnd&pg=PA1&ots=UjGrsf5EH7&sig=uH_PCbC8p7Vs6zHTaLCvE2aETAE,
0,Analysis on real hyperbolic spaces,,"W Rossmann - Journal of Functional Analysis, 1978",Else,vier,https://www.sciencedirect.com/science/article/pii/0022123678900654,
0,Algebras of symbols and modular forms,,"A Unterberger, J Unterberger - Journal d'Analyse Mathématique, 1996",Spri,nger,https://link.springer.com/article/10.1007/BF02790207,
0,"Geometric analysis on small unitary representations of GL (N, R)",,"T Kobayashi, B Ørsted, M Pevzner - Journal of Functional Analysis, 2011",Else,vier,https://www.sciencedirect.com/science/article/pii/S0022123610004623,
0,Unitary representations of the (4+ 1)‐de Sitter group on irreducible representation spaces of the Poincaré group,,"P Moylan - Journal of mathematical physics, 1983",aip.scitation,.org,https://aip.scitation.org/doi/abs/10.1063/1.525669,
0,Conformally invariant differential equations and projective geometry,,"B Ørsted - Journal of Functional Analysis, 1981",Else,vier,https://www.sciencedirect.com/science/article/pii/0022123681900021,
0,"Irreducible unitary representations of SU (2, 2)",,"AW Knapp, B Speh - Journal of Functional Analysis, 1982",math.stonybrook,.edu,https://www.math.stonybrook.edu/~aknapp/pdf-files/birgit-su22.pdf,
0,Harmonic analysis on homogeneous spaces,,"VF Molchanov - … Theory and Noncommutative Harmonic Analysis II, 1995",Spri,nger,https://link.springer.com/chapter/10.1007/978-3-662-09756-4_1,
0,Dynamical quantization of the Kepler manifold,,"E Onofri - Journal of Mathematical Physics, 1976",aip.scitation,.org,https://aip.scitation.org/doi/abs/10.1063/1.522907,
0,Quantization on hyperboloids and full space‐time field expansion,,"A DiSessa - Journal of Mathematical Physics, 1974",aip.scitation,.org,https://aip.scitation.org/doi/abs/10.1063/1.1666554,
0,"The wave equation, O (2, 2), and separation of variables on hyperboloids",,"EG Kalnins, W Miller - Proceedings of the Royal Society of Edinburgh …, 1978",cambridge,.org,https://www.cambridge.org/core/journals/proceedings-of-the-royal-society-of-edinburgh-section-a-mathematics/article/wave-equation-o2-2-and-separation-of-variables-on-hyperboloids/18C49F8D2CF011D9BF1C97C5F4106115,
0,Relativistic wavefunctions on the Poincaré group,,"VV Varlamov - Journal of Physics A: Mathematical and General, 2004",iopscience.iop,.org,https://iopscience.iop.org/article/10.1088/0305-4470/37/20/014/meta,
0,On bounded generalized Harish-Chandra modules,,"I Penkov, V Serganova - Annales de l'Institut Fourier, 2012",numdam,.org,http://www.numdam.org/item/AIF_2012__62_2_477_0/,
0,On Lie groups and hyperbolic symmetry—From Kunze–Stein phenomena to Riesz potentials,,"W Beckner - Nonlinear Analysis, 2015",Else,vier,https://www.sciencedirect.com/science/article/pii/S0362546X15002060,
0,Eigenspaces of the Laplacian on hyperbolic spaces: composition series and integral transforms,,"H Schlichtkrull - Journal of functional analysis, 1987",Else,vier,https://www.sciencedirect.com/science/article/pii/0022123687901303,
0,"Boundary values of holomorphic functions, singular unitary representations ofO (p, q), and their limits asq→∞",,"YA Neretin, GI Ol'shanskii - Journal of Mathematical Sciences, 1997",Spri,nger,https://link.springer.com/article/10.1007/BF02355796,
