,title,abstract,author,journal,year,pdf_link,keyword
10,"A category-theoretic approach extending the notion of connection in a natural way, and its application to the geometry of differential systems","We give the widest geometrical generalization of the notion of connection in fiber spaces that allows one to adequately construct the geometry of ordinary differential systems of any order. In this area, there is a theory of nonlinear stable connections developed by the first author. Here we apply it to fourth-order systems.",L. E. Evtushik1 & O. M. Omelyan,Journal of Mathematical Sciences,2011,https://link.springer.com/article/10.1007/s10958-011-0480-x,"Total Derivative,Parallel Transport,Principal Bundle,Connection Functor,Integral Curf"
11,Differential geometry of submanifolds with planar normal sections,"Submanifolds of Em with (pointwise) planar normal sections were studied in [3, 4]. In the present paper, we will prove that the first normal spaces of such submanifolds are always parallel in the normal bundle. Moreover, we will prove that a spherical submanifold has parallel second fundamental form if and only if it has pointwise planar normal sections. Some applications of these fundamental results will also be given.",Bang-yen Chen,Annali di Matematica Pura ed Applicata,1982,https://link.springer.com/article/10.1007/BF01761488,"Differential Geometry,Normal Space,Fundamental Form,Normal Bundle,Fundamental Result"
12,Partial Differential Equations in Conformal Geometry,In this paper we present our recent work on conformally compact Einstein 4-manifolds. We present our discovery of a conformal compactification by positive eigenfunctions and many interesting consequences of this compactification in the study of topology of conformally compact Einstein 4-manifolds.,J. Qing,Journal of Mathematical Sciences,2004,https://link.springer.com/article/10.1023/B%3AJOTH.0000047354.88129.6f,"Differential Equation,Recent Work,Partial Differential Equation,Interesting Consequence,Conformal Geometry"
13,Riemann extensions and affine differential geometry,"In order to define an affine immersion of manifolds in affine differential geometry, it is necessary to choose a set of normal planes to the immersed manifold. The theory is then developed after this choice has been made. However, it was shown by A.G.Walker [WA1] that a torsion-free affine connexion on a manifold determines canonically a pseudo-Riemannian metric on the cotangent bundle, called the Riemann-extension of the affine connexion. By making use of this pseudo-Riemannian metric it is possible to define an affine immersion without making a suitable choice of normal planes.",Tom Willmore,Results in Mathematics,1988,https://link.springer.com/article/10.1007/BF03323255,"Canonical Form,Local Coordinate System,Cotangent Bundle,Normal Plane,Covariant Vector"
14,Differential geometry of complex projective space curves,We give explicit formulas for the Gaussian curvature and other differential geometric functions of a holomorphic curve in complex projective space. It is proved that the curve is uniquely determined by these functions up to an isometry of the ambient space.,Gerd Fischer,manuscripta mathematica,1983,https://link.springer.com/article/10.1007/BF01168579,"Number Theory,Differential Geometry,Projective Space,Explicit Formula,Algebraic Geometry"
15,On the differential geometry of frame bundles,"The problem to ascertain an admissible structure of frame bundles is solved in this paper, presenting a tensor field H of type-(1.1) which satisfies H3 = H. It acts on the horizontal tensor field as an annihilator and on the vertical tensor field as an almost product structure. When a metric is endowed on the base manifold, it is always possible to assign the metric in the frame bundle such that its element of length obeys the Pythagorean rule when the measurement is done along horizontal and vertical distributions, and by such a general metric it can be proved that the tangent bundle of a frame bundle F(Xn) is reduced to0(n2) ×0(n); especially for n=2m, it is reduced to U(mn) ×0(n). The Lie derivative of H and the parallelism of the three lifts, horizontal, vertical and cnmplete, are examined in terms of their corresponding projection vector fields in the base space.",Tanjiro Okub,Annali di Matematica Pura ed Applicata (1923 -),1966,https://link.springer.com/article/10.1007/BF02414325,"Vector Field,Vertical Distribution,Differential Geometry,Tangent Bundle,Product Structure"
16,On the Geometry of Point-Transformation Invariant Class of Third-Order Ordinary Differential Equations,"Applying geometric methods, we study a class of third-order ordinary differential equations closed with respect to point transformations. We associate with such an equation the pseudovector fields formed by its coefficients. The equation possesses a maximal algebra of point-transformation symmetries if five pseudovector fields vanish.",V. V. Kartak,Mathematical Notes,2005,https://link.springer.com/article/10.1007/s11006-005-0066-3,"ordinary differential equation,point transformation,equivalence problem,pseudovector field,Pfaffian system,algebra of point symmetries"
17,Some theorems in affine differential geometry,"In this paper we prove that an affine hypersphere with scalar curvature zero in a unimodular affine space of dimensionn+1 must be contained either in an elliptic paraboloid or in an affine image of the hypersurfacex
1
x
2...x
n+1=const. We prove also that an affine complete, affine maximal surface is an elliptic paraboloid if its affine normals omit 4 or more directions in general position.",Li Anmin,Acta Mathematica Sinica,1989,https://link.springer.com/article/10.1007/BF02107712,"Differential Geometry,General Position,Maximal Surface,Affine Space,Affine Normal"
18,Differential geometry in India,This is a brief survey of work done in India in differential geometry during the period 2000 to 2015. The survey is not exhaustive and highlights aspects that the author is familiar with.,Harish Seshadri,Indian Journal of Pure and Applied Mathematics,2019,https://link.springer.com/article/10.1007/s13226-019-0355-2,"Riemannian manifolds,nonpositive curvature,Ricci flow,harmonic manifolds"
19,A note on the projective differential geometry of a non-holonome surface,"The paper is concerned with projective differential properties of the plane sections made by the planes which pass through a non-asymptotic tangent, of a non-holonome surfaceV

23
 inS
3. Chiefly by this way some surfaces are determined, which are projectively connected with the generic point on theV

23
.",Buchin Su,Annali di Matematica Pura ed Applicata,1941,https://link.springer.com/article/10.1007/BF02412458,"Differential Geometry,Generic Point,Plane Section,Differential Property,Projective Differential Geometry"
20,Differential geometry of manifolds of figures,In the survey there are reflected papers on the differential geometry of manifolds of figures reviewed in RZh “Matematika” in 1971–1979.,V. S. Malakhovski,Journal of Soviet Mathematics,1983,https://link.springer.com/article/10.1007/BF01084773,"Manifold,Differential Geometry"
21,Covariant noncommutative differential geometry,We use the R-matrix formalism of the quantum inverse scattering method to formulate the noncommutative differential geometry for a noncommutative analog of the algebra of functions on a linear space. The sources of nonuniqueness are pointed out. The case of super-spaces is briefly discussed. Bibliography: 23 titles.,P. P. Kulis,Journal of Mathematical Sciences,1996,https://link.springer.com/article/10.1007/BF02362779,"Linear Space,Differential Geometry,Quantum Inverse,Noncommutative Analog,Noncommutative Differential Geometry"
22,"Abstract Differential Geometry, Differential Algebras of Generalized Functions, and de Rham Cohomology","Abstract differential geometry is a recent extension of classical differential geometry on smooth manifolds which, however, does no longer use any notion of Calculus. Instead of smooth functions, one starts with a sheaf of algebras, i.e., the structure sheaf, considered on an arbitrary topological space, which is the base space of all the sheaves subsequently involved. Further, one deals with a sequence of sheaves of modules, interrelated with appropriate ‘differentials’, i.e., suitable ‘Leibniz’ sheaf morphisms, which will constitute the ‘differential complex’. This abstract approach captures much of the essence of classical differential geometry, since it places a powerful apparatus at our disposal which can reproduce and, therefore, extend fundamental classical results. The aim of this paper is to give an indication of the extent to which this apparatus can go beyond the classical framework by including the largest class of singularities dealt with so far. Thus, it is shown that, instead of the classical structure sheaf of algebras of smooth functions, one can start with a significantly larger, and nonsmooth, sheaf of so-called nowhere dense differential algebras of generalized functions. These latter algebras, which contain the Schwartz distributions, also provide global solutions for arbitrary analytic nonlinear PDEs. Moreover, unlike the distributions, and as a matter of physical interest, these algebras can deal with the vastly larger class of singularities which are concentrated on arbitrary closed, nowhere dense subsets and, hence, can have an arbitrary large positive Lebesgue measure. Within the abstract differential geometric context, it is shown that, starting with these nowhere dense differential algebras as a structure sheaf, one can recapture the exactness of the corresponding de Rham complex, and also obtain the short exponential sequence. These results are the two fundamental ingredients in developing differential geometry along classical, as well as abstract lines. Although the commutative framework is used here, one can easily deal with a class of singularities which is far larger than any other one dealt with so far, including in noncommutative theories.",Anastasios Mallios1 & Elemér E. Rosinger,Acta Applicandae Mathematica,1999,https://link.springer.com/article/10.1023/A%3A1006106718337,"abstract differential geometry,differential algebras,de Rham cohomology"
23,Differential algebra (contravariant analytic methods in differential geometry),The problems of developing the apparatus of differential-geometric investigations based on the calculus of differential operators on bundles of semiholonomic jets of Ehresmann are considered.,A. M. Vasil'e,Journal of Soviet Mathematics,1980,https://link.springer.com/article/10.1007/BF01095468,"Differential Operator,Differential Geometry,Differential Algebra"
24,Metrics in Projective Differential Geometry: The Geometry of Solutions to the Metrizability Equation,"Pseudo-Riemannian metrics with Levi-Civita connection in the projective class of a given torsion-free affine connection are equivalent to the maximal rank solutions of a certain overdetermined projectively invariant differential equation often called the metrizability equation. Dropping this rank assumption, we study the solutions to this equation, given less restrictive generic conditions on its prolonged system. In this setting, we find that the solution stratifies the manifold according to the strict signature (pointwise) of the solution and does this in way that locally generalizes the stratification of a model, where the model is, in each case, a corresponding Lie group orbit decomposition of the sphere. Thus the solutions give curved generalizations of such embedded orbit structures. We describe the smooth nature of the strata and determine the geometries of each of the different strata types; this includes a metric on the open strata that becomes singular at the strata boundary, with the latter a type of projective infinity for the given metric. The work also provides new results for the projective compactification of scalar-flat metrics.","Keegan Flood1 & A. Rod Gover 
            ORCID: orcid.org/0000-0001-8226-5245",The Journal of Geometric Analysis,2019,https://link.springer.com/article/10.1007/s12220-018-0084-5,"Projective differential geometry,Conformal geometry,Overdetermined PDE,Compactification of pseudo-Riemannian manifolds"
25,Pseudo-minkowski differential geometry,Minkowski geometry is studied by the method of moving frames.,H. Guggenheimer,Annali di Matematica Pura ed Applicata,1965,https://link.springer.com/article/10.1007/BF02410096,"Differential Geometry,Minkowski Geometry"
26,Deformations of hypersurfaces in equiaffine differential geometry,We study infinitesimal normal deformations in equiaffine hypersurface theory and prove local and global rigidity results. Main tool are uniqueness theorems for certain p.d.e. of second order.,Gabi Penn1 & Udo Simon,Annals of Global Analysis and Geometry,1987,https://link.springer.com/article/10.1007/BF00127855,"Group Theory,Differential Geometry,Main Tool,Uniqueness Theorem,Normal Deformation"
27,Differential operators and BV structures in noncommutative geometry,"We introduce a new formalism of differential operators for a general associative algebra A. It replaces Grothendieck’s notion of differential operators on a commutative algebra in such a way that derivations of the commutative algebra are replaced by \({\mathbb{D}{\rm er}(A)}\), the bimodule of double derivations. Our differential operators act not on the algebra A itself but rather on \({\mathcal{F}(A)}\), a certain ‘Fock space’ associated to any noncommutative algebra A in a functorial way. The corresponding algebra \({\mathcal{D}(\mathcal{F}(A))}\) of differential operators is filtered and gr \({\mathcal{D}(\mathcal{F}(A))}\), the associated graded algebra, is commutative in some ‘wheeled’ sense. The resulting ‘wheeled’ Poisson structure on gr \({\mathcal{D}(\mathcal{F}(A))}\) is closely related to the double Poisson structure on \({T_{A} \mathbb{D}{\rm er}(A)}\) introduced by Van den Bergh. Specifically, we prove that gr \({\mathcal{D}(\mathcal{F}(A))\cong\mathcal{F}(T_{A}(\mathbb{D}{\rm er}(A)),}\) provided the algebra A is smooth. Our construction is based on replacing vector spaces by the new symmetric monoidal category of wheelspaces. The Fock space \({\mathcal{F}(A)}\) is a commutative algebra in this category (a “commutative wheelgebra”) which is a structure closely related to the notion of wheeled PROP. Similarly, we have Lie, Poisson, etc., wheelgebras. In this language, \({\mathcal{D}(\mathcal{F}(A))}\) becomes the universal enveloping wheelgebra of a Lie wheelgebroid of double derivations. In the second part of the paper, we show, extending a classical construction of Koszul to the noncommutative setting, that any Ricci-flat, torsion-free bimodule connection on \({\mathbb{D}{\rm er}(A)}\) gives rise to a second-order (wheeled) differential operator, a noncommutative analogue of the Batalin-Vilkovisky (BV) operator, that makes \({\mathcal{F}(T_{A}(\mathbb{D}{\rm er}(A)))}\) a BV wheelgebra. In the final section, we explain how the wheeled differential operators \({\mathcal{D}(\mathcal{F}(A))}\) produce ordinary differential operators on the varieties of n-dimensional representations of A for all n ≥ 1.",Victor Ginzburg1 & Travis Schedler,Selecta Mathematica,2010,https://link.springer.com/article/10.1007/s00029-010-0029-8,"Primary 16W99,Secondary 16S32"
28,Stochastic differential geometry: An introduction,"Stochastic calculus can be used to provide a satisfactory theory of random processes on differentiable manifolds and, in particular, a description of Brownian motion on a Riemannian manifold which lends itself to constructions generalizing the classical development of smooth paths on a manifold. An introduction to this theory is given, and a survey is made of the relationship between curvature properties of the manifold and the asymptotic behaviour of the Brownian motion on the manifold. It is then explained how these results can be used to prove geometrical theorems concerning special classes of maps between manifolds.",Wilfrid S. Kendall,Acta Applicandae Mathematica,1987,https://link.springer.com/article/10.1007/BF00580820,"58G32,60J65,60H10"
29,Symbolic computations in applied differential geometry,"The main aim of this paper is to contribute to the automatic calculations in differential geometry and its applications, with emphasis on the prolongation theory of Estabrook and Wahlquist, and the calculation of invariance groups of exterior differential systems. A large number of worked examples have been included in the text to demonstrate the concrete manipulations in practice. In the appendix, a list of programs discussed in the paper is added.","P. K. H. Gragert1, P. H. M. Kersten1 & R. Martini",Acta Applicandae Mathematica,1983,https://link.springer.com/article/10.1007/BF02433841,"35 Partial Differential Equations,53 Differential Geometry,68 Computer Science"
30,Geometry of Differential Equations: A Concise Introduction,A short introduction to geometrical theory of nonlinear differential equations is given to provide a unified overview to the collection 'Symmetries of differential equations and related topics'.,Joseph Krasil'shchik,Acta Applicandae Mathematica,2002,https://link.springer.com/article/10.1023/A%3A1015220004312,"jets,nonlinear differential equations,geometry,symmetries,conservation laws"
31,Graded differential geometry in REDUCE: Supersymmetry structures of the modified KdV equation,The description of a graded differential geometry package in REDUCE is given. The procedures are useful in the study of supersymmetric equations. The supersymmetric modified KdV equation is discussed as an application.,P. K. H. Gragert1 & P. H. M. Kersten,Acta Applicandae Mathematica,1991,https://link.springer.com/article/10.1007/BF00047044,"35Q53,35A30,58G05,58G35"
32,The study of combined action of agents using differential geometry of dose-effect surfaces,"Although graphic surfaces have been used routinely in the study of combined action of agents, they are mainly used for display purposes. In this paper, it is shown that useful mechanistic information can be obtained from an analytical study of these surfaces using the tools of differential geometry. From the analysis of some simple dose-effect surfaces, it is proposed that the intrinsic curvature, referred to in differential geometry as the Gaussian curvature, of a dose-effect surface can be used as a general criterion for the classification of interaction between different agents. This is analogous to the interpretation of the line curvature of a dose-effect curve as an indication of self-interaction between doses for an agent. In this framework, the dose-effect surface would have basic uniform fabric with zero curvature in the absence of interaction, tentatively referred to as null-interaction. Pictorially speaking, this fabric is distorted locally or globally like the stretching and shrinking of a rubber sheet by the presence of interaction mechanisms between different agents. Since self-interaction with dilution dummies does not generate intrinsic curvature, this criterion of null-interaction would describe the interaction between two trulydifferent agents. It is shown that many of the published interaction mechanisms give rise to dose-effect surfaces with characteristic curvatures. This possible correlation between the intrinsic geometric curvature of dose-effect surfaces and the biophysical mechanism of interaction presents an interesting philosophical viewpoint for the study of combined action of agents.",Gabriel K. Y. Lam,Bulletin of Mathematical Biology,1992,https://link.springer.com/article/10.1007/BF02459931,"Differential Geometry,Combine Action,Gaussian Curvature,Tangent Plane,Independent Action"
33,Differential Geometry of Distributions,"This paper is a review of studies in differential geometry of distributions for 35 years (1975–2009) based on abstracts published in the review journal ”Referativny Zhurnal, Series Mathematics.”",A. V. Stolyarov,Journal of Mathematical Sciences,2015,https://link.springer.com/article/10.1007/s10958-015-2387-4,"Manifold,Projective Space,State Pedagogical,Technical Information,Conformal Space"
34,The geometry of a quasilinear system of two partial differential equations containing the first and second partial derivatives of two functions in two independent variables,The geometry of a system of two partial differential equations containing the first and second partial derivatives of two functions in two independent variables is studied by using the Cartan method of invariant forms and the group-theoretic method of extensions and enclosings due to G. F. Laptev (for finite groups) and A. M. Vasil’ev (for infinite groups). Systems of quasilinear equations with the first and second partial derivatives of two functions u and v in two independent variables x and y are classified.,L. N. Orlova,Journal of Mathematical Sciences,2011,https://link.springer.com/article/10.1007/s10958-011-0498-0,"Manifold,Invariant Form,Real Characteristic,Integral Manifold,Plane Element"
35,Moving frames and differential invariants in centro-affine geometry,"Explicit formulas for the generating differential invariants and invariant differential operators for curves in two- and three-dimensional centro-equi-affine and centro-affine geometry and surfaces in three-dimensional centro-equi-affine geometry are constructed using the equivariant method of moving frames. In particular, the algebra of centro-equi-affine surface differential invariants is shown to be generated by a single second order invariant.",P. J. Olver,Lobachevskii Journal of Mathematics,2010,https://link.springer.com/article/10.1134/S1995080210020010,"Moving frame,differential invariant,centro-affine geometry"
36,Pre-Lie Groups in Abstract Differential Geometry,"We study groups with “differential structure” in the framework of Abstract Differential Geometry, an abstraction of the classical differential geometry of manifolds, via sheaf-theoretic methods, without ordinary calculus; the basic tool is the notion of a differential triad. First, we consider pre-Lie groups, i.e., semi-topological groups with compatible differential triads and we prove that such groups have “left-invariant vector fields” and “left-invariant derivations”, behaving like the classical ones. Next, for every pre-Lie group, we define an appropriate Lie algebra and prove the existence of a naturally associated adjoint representation of the initial group into the latter.",M. H. Papatriantafillou,Mediterranean Journal of Mathematics,2015,https://link.springer.com/article/10.1007/s00009-014-0416-z,"Primary 18F15,Secondary 22E60,43A65"
37,The geometry of a quasilinear system of two partial differential equations containing the first and the second partial derivatives of two functions in two independent variables,The geometry of the system of two partial differential equations containing the first and second partial derivatives of two functions in two independent variables is studied by using Élie Cartan’s method of invariant forms and the group-theoretic method of extensions and enclosings due to G. F. Laptev (for finite groups) and A. M. Vasil’ev (for infinite groups). Systems of quasilinear equations with the first and second partial derivatives of two functions u and v in two independent variables x and y are classified.,L. N. Orlova,Mathematical Notes,2009,https://link.springer.com/article/10.1134/S0001434609030110,"partial differential equation,quasilinear partial differential system,integral manifold,point transformation group,characteristic,Lie-Cartan structure equation"
38,Feedback-invariant optimal control theory and differential geometry—I. Regular extremals,"A feedback-invariant approach to smooth optimal control problems is considered. A Hamiltonian method of investigating regular extremals is developed, analogous to the differential-geometric method of investigating Riemannian geodesics in terms of the Levi-Civita connection and the curvature tensor.",A. A. Agrachev nAff1 & R. V. Gamkrelidze nAff,Journal of Dynamical and Control Systems,1997,https://link.springer.com/article/10.1007/BF02463256,"49K15,53B05(B15),53C22"
39,Differential Geometry Based Multiscale Models,"Large chemical and biological systems such as fuel cells, ion channels, molecular motors, and viruses are of great importance to the scientific community and public health. Typically, these complex systems in conjunction with their aquatic environment pose a fabulous challenge to theoretical description, simulation, and prediction. In this work, we propose a differential geometry based multiscale paradigm to model complex macromolecular systems, and to put macroscopic and microscopic descriptions on an equal footing. In our approach, the differential geometry theory of surfaces and geometric measure theory are employed as a natural means to couple the macroscopic continuum mechanical description of the aquatic environment with the microscopic discrete atomistic description of the macromolecule. Multiscale free energy functionals, or multiscale action functionals are constructed as a unified framework to derive the governing equations for the dynamics of different scales and different descriptions. Two types of aqueous macromolecular complexes, ones that are near equilibrium and others that are far from equilibrium, are considered in our formulations. We show that generalized Navier–Stokes equations for the fluid dynamics, generalized Poisson equations or generalized Poisson–Boltzmann equations for electrostatic interactions, and Newton’s equation for the molecular dynamics can be derived by the least action principle. These equations are coupled through the continuum-discrete interface whose dynamics is governed by potential driven geometric flows. Comparison is given to classical descriptions of the fluid and electrostatic interactions without geometric flow based micro-macro interfaces. The detailed balance of forces is emphasized in the present work. We further extend the proposed multiscale paradigm to micro-macro analysis of electrohydrodynamics, electrophoresis, fuel cells, and ion channels. We derive generalized Poisson–Nernst–Planck equations that are coupled to generalized Navier–Stokes equations for fluid dynamics, Newton’s equation for molecular dynamics, and potential and surface driving geometric flows for the micro-macro interface. For excessively large aqueous macromolecular complexes in chemistry and biology, we further develop differential geometry based multiscale fluid-electro-elastic models to replace the expensive molecular dynamics description with an alternative elasticity formulation.","Guo-Wei Wei1,",Bulletin of Mathematical Biology,2010,https://link.springer.com/article/10.1007/s11538-010-9511-x,"Variational principle,Multiscale,Geometric flows,Solvation analysis,Electrostatic analysis,Implicit solvent models,Molecular dynamics,Elasticity,Navier–Stokes equation,Poisson–Boltzmann equation,Nernst–Planck equation"
40,Envelope of Mid-Planes of a Surface and Some Classical Notions of Affine Differential Geometry,"For a pair of points in a smooth locally convex surface in 3-space, its mid-plane is the plane containing its mid-point and the intersection line of the corresponding pair of tangent planes. In this paper we show that the limit of mid-planes when one point tends to the other along a direction is the Transon plane of the direction. Moreover, the limit of the envelope of mid-planes is non-empty for at most six directions, and, in this case, it coincides with the center of the Moutard’s quadric. These results establish a connection between these classical notions of affine differential geometry and the apparently unrelated concept of envelope of mid-planes of a surface. We call the limit of envelope of mid-planes the affine mid-planes evolute and prove that, under some generic conditions, it is a regular surface in 3-space.",Ady Cambraia Jr.1 & Marcos Craizer,Results in Mathematics,2017,https://link.springer.com/article/10.1007/s00025-017-0697-1,53A15
41,The differential geometry of webs,"We consider papers devoted to the study of multidimensional webs and also the geometric and algebraic structures connected with them. The survey is a continuation of the first part of the survey by V. D. Belousov and V. V. Ryzhkov “The Geometry of Webs,” published in 1972.",M. A. Akivi,Journal of Soviet Mathematics,1985,https://link.springer.com/article/10.1007/BF02105053,"Differential Geometry,Algebraic Structure"
